PR URL ,Category
https://github.com/square/moshi/pull/1467,disregards because this pr focuses on kotlin
https://github.com/square/moshi/pull/1469,disregards because this pr focuses on kotlin
https://github.com/square/moshi/pull/1460,disregards because this pr focuses on kotlin
https://github.com/square/moshi/pull/1400,disregards because this pr focuses on kotlin
https://github.com/square/moshi/pull/1470,disregards because this pr focuses on kotlin
https://github.com/square/moshi/pull/896,disregards because this pr focuses on kotlin
https://github.com/square/moshi/pull/435,disregards because this pr focuses on kotlin
https://github.com/square/moshi/pull/245,"Clarify Code Intent, Type: Others"
https://github.com/square/moshi/pull/422,"simplify if/else conditions, Type: Others"
https://github.com/square/moshi/pull/236,"Clarify Code Intent, Type: Improve Naming"
https://github.com/square/moshi/pull/1381,Improve Code modulrity: Type: Extract method
https://github.com/square/moshi/pull/917, disregards because this pr focuses on kotlin