Pull Request,Developer Description,Code Change
https://github.com/apache/avro/pull/965/commits/1e038a014a4d3e7efb0c5206a0b64bd0a1041c95,I really like the separation into CompilerOptions for readability!,"StringType stringType = StringType.CharSequence;
boolean useLogicalDecimal = false;
Optional<String> encoding = Optional.empty();
Optional<String> templateDir = Optional.empty();
Optional<FieldVisibility> fieldVisibility = Optional.empty();

CompilerOptions compilerOpts = new CompilerOptions();
compilerOpts.stringType = StringType.CharSequence;
compilerOpts.useLogicalDecimal = false;
compilerOpts.createSetters = true;
compilerOpts.optionalGettersType = Optional.empty();
compilerOpts.addExtraOptionalGetters = false;
compilerOpts.encoding = Optional.empty();
compilerOpts.templateDir = Optional.empty();
compilerOpts.fieldVisibility = Optional.empty();"
https://github.com/apache/accumulo/pull/501/commits/f0d1dd42308995661083e5444cec3b89ab96cdf9,"Improve some comparators using Java 8

make code readable",".nullsFirst((l1, l2) -> Long.compare(l2, l1));

.nullsFirst(Comparator.reverseOrder());"
https://github.com/JabRef/jabref/pull/5192/commits/714edf097a8f52a5f5436bda2f7355611196ca59,Update TexBibEntriesResolver for improving readability,"resolverResult.getNewEntries().addAll(
                // Get all pairs Entry<String entryKey, Citation>.
                texParserResult.getCitations().entries().stream().distinct().flatMap(mapEntry ->
                        // Load the associated BIB file.
                        texParserResult.getBibFiles().get(mapEntry.getValue().getPath()).stream().distinct().flatMap(bibFile ->
                                // Get a specific entry from an entryKey and a BIB file.
                                bibDatabases.get(bibFile).getEntriesByKey(mapEntry.getKey()).stream().distinct()
                                            // Check if there is already an entry with the same key in the given database.
                                            .filter(entry -> !entry.equals(masterDatabase.getEntryByKey(entry.getCiteKeyOptional().orElse("""")).orElse(new BibEntry())))
                                            // Add cross-referencing data to the entry (fill empty fields).
                                            .map(entry -> {
                                                bibDatabases.get(bibFile).getReferencedEntry(entry).ifPresent(refEntry ->
                                                        refEntry.getFields().forEach(field -> entry.getFieldMap().putIfAbsent(field, refEntry.getFieldOrAlias(field).orElse(""""))));
                                                return entry;
                                            })))
                               .collect(Collectors.toSet()));

Set<BibEntry> newEntries = citationsStream.flatMap(mapEntry -> apply(mapEntry, texParserResult, bibDatabases)).collect(Collectors.toSet());
resolverResult.getNewEntries().addAll(newEntries);"
https://github.com/elastic/elasticsearch/pull/74386/commits/133f6c279f4813d3365e0f43d67d3e37911e2cea,Rename a few variables for readability,"public void addIndexStateListener(BiConsumer<State, State> listener) {

public void addStateListener(BiConsumer<State, State> listener) {"
https://github.com/grpc/grpc-java/pull/8326/commits/5d0c68589efae304134343cf1c9c20604fbda52c,nit: this can be more readable with a helper method:,"final Status finalAbortStatus;
    if (abortStatus != null) {
      String abortDesc = ""RPC terminated due to fault injection"";
      if (abortStatus.getDescription() != null) {
        abortDesc = abortDesc + "": "" + abortStatus.getDescription();
      }
      finalAbortStatus = abortStatus.withDescription(abortDesc);
    } else {
      finalAbortStatus = null;
    }

    final Status finalAbortStatus = getAbortStatusWithDescription(abortStatus);"
https://github.com/apache/accumulo/pull/1738/commits/8f56442220df5bb45f16a3d28adb3dc061be5881,"Rename Volume.isValidPath(Path) to Volume.containsPath(Path) to
improve readability

rename helper method equivalentPaths(Path) to isAncestorPathOf(Path)
for readability in containsPath(Path) implementation","boolean isValidPath(Path p);
boolean equivalentPaths(Path other) {

boolean containsPath(Path path);
boolean isAncestorPathOf(Path other) {"
https://github.com/neo4j/neo4j/pull/8135/commits/49f050d928a135b7612cc2cf3cfa8eedb8a0f3f9,"This is the same lamba used in CsvInput#nodes() and almost the same as CsvInput#relationships().
I think readability would be improved by extracting them to concrete classes.

Simplified creation of DeserializerFactory
into common implementations in DeserializerFactories as to deduplicate these
implementations found throught main and test code and make that code more readable"," DeserializerFactory<InputRelationship> factory = (dataHeader, dataStream, decorator, validator) ->
                {
                        InputRelationshipDeserialization deserialization =
                                new InputRelationshipDeserialization( dataHeader, dataStream, groups );
                        return new InputEntityDeserializer<>( dataHeader, dataStream, config.delimiter(),
                                deserialization, decorator, validator, badCollector );
                };

                DeserializerFactory<InputRelationship> factory =
                        defaultRelationshipDeserializer( groups, config, idType, badCollector );"
https://github.com/iluwatar/java-design-patterns/pull/1025/commits/6d29083683beebc87022a337f3dfab1367f3ef9f,Added var for local variables in cases var is improving readability,"Map<String, Object> doorProperties = new HashMap<>();

var doorProperties = new HashMap<String, Object>();"
https://github.com/apache/dubbo/pull/5996/commits/1340dace183a242d94ff9821df66041d444fce9d,replace some lambda expressions to method reference to improve code readability.,"ShutdownHookCallbacks.INSTANCE.addCallback(new ShutdownHookCallback() {
            @Override
            public void callback() throws Throwable {
                DubboBootstrap.this.destroy();
            }
        });

ShutdownHookCallbacks.INSTANCE.addCallback(DubboBootstrap.this::destroy);"
https://github.com/jenkinsci/git-plugin/pull/931/commits/2a879a881d8d7eb8e34dafac2c8cd0f38eed4ae4,Add Javadoc comments for better readability,"/**
 * A class which allows {@link AbstractGitSCMSource} to estimate the size of a repository from a distance
 * without requiring a local checkout.
 */"